Employee ID,Business Acumen,Interpersonal Sensitivity,Professional Ethics,Problem Solving and Decision Making,Communication Skills,Corporate Steward,Relevant Professional Understanding,Computer Proficiency,Proficiency in the use of System and Tools,Data Management,People Development,Strategic Management
Employee 289,2,2,2,2,1,1,1,2,1,1,2,2
Employee 197,4,3,4,4,3,4,2,2,2,2,4,4
Employee 318,2,2,2,3,2,2,3,4,4,4,4,3
Employee 260,4,3,4,2,2,3,2,3,2,2,3,2
Employee 217,2,4,4,3,3,2,2,3,3,3,4,4
Employee 191,2,2,2,2,2,3,2,1,1,1,3,2
Employee 395,1,2,4,2,3,2,2,3,2,3,3,4
Employee 39,2,2,2,1,1,4,4,4,4,4,4,4
Employee 292,2,2,2,2,2,3,2,4,2,3,2,2
Employee 351,3,3,2,3,3,3,3,4,3,3,3,3
Employee 329,1,1,2,1,1,1,1,4,1,1,2,2
Employee 157,2,2,4,3,2,1,1,4,3,3,3,2
Employee 466,2,2,4,3,2,2,2,2,2,2,2,2
Employee 464,2,2,4,3,2,1,2,2,1,1,2,2
Employee 192,2,2,2,2,2,1,2,2,1,1,2,2
Employee 144,2,2,4,2,3,2,2,3,2,3,2,2
Employee 107,2,2,2,2,2,2,2,1,1,1,2,2
Employee 117,2,2,2,2,2,1,1,3,3,2,2,2
Employee 80,2,4,4,3,4,3,2,4,3,2,3,3
Employee 235,2,2,4,2,3,1,2,2,2,1,2,2
Employee 233,3,3,4,2,2,2,3,3,3,2,3,3
Employee 354,2,3,4,2,2,3,2,2,3,3,2,2
Employee 62,2,2,2,2,2,2,2,3,2,2,2,2
Employee 152,2,2,4,3,2,3,2,2,2,2,2,2
Employee 388,1,2,4,2,4,3,3,1,2,1,3,3
Employee 170,3,3,4,3,3,3,3,3,3,2,2,2
Employee 238,3,3,4,3,3,3,2,2,2,2,2,2
Employee 279,2,2,2,2,2,2,2,2,2,2,2,2
Employee 232,2,4,4,4,4,2,2,3,3,3,2,2
Employee 8,3,3,2,3,2,3,3,3,3,3,3,3
Employee 371,2,3,4,3,3,3,2,2,3,3,2,2
Employee 131,3,3,4,4,3,4,4,4,4,4,4,4
Employee 75,2,2,4,3,2,2,2,3,2,3,2,2
Employee 125,3,3,4,2,2,3,3,2,3,3,3,2
Employee 673,3,3,2,3,4,3,3,4,4,4,3,3
Employee 394,3,2,2,3,3,2,4,4,4,2,2,2
Employee 29,2,#VALUE!,2,2,3,3,3,3,3,2,3,2
Employee 122,2,2,2,3,3,2,2,3,3,3,2,2
Employee 293,2,2,4,2,4,2,2,3,2,2,2,2
Employee 317,2,2,2,3,3,2,2,3,3,3,2,3
Employee 358,3,4,4,3,3,4,3,2,3,3,3,3
Employee 284,2,1,2,1,1,1,1,1,2,1,2,2
Employee 314,1,2,2,2,1,2,1,2,1,2,2,2
Employee 400,2,2,2,2,2,2,3,2,2,2,3,3
Employee 360,2,2,2,2,2,2,2,2,2,1,2,2
Employee 303,3,4,4,4,4,4,4,4,4,4,4,4
Employee 454,2,2,2,2,2,2,2,2,1,1,2,2
Employee 148,3,3,4,3,2,3,2,2,2,2,3,3
Employee 291,3,3,4,3,3,3,3,3,4,3,3,3
Employee 339,3,2,2,3,3,2,2,4,4,4,3,3
Employee 282,2,2,2,3,2,3,2,3,3,3,2,2
Employee 423,2,2,2,3,3,2,2,3,3,2,3,2
Employee 149,2,1,4,2,2,1,2,4,4,1,2,2
Employee 241,2,2,2,2,1,1,2,2,1,1,2,2
Employee 142,3,3,4,3,3,3,3,3,3,4,3,3
